"DisplayName","DisplayVersion","InstallLocation"
"7-Zip 22.01 (x64)","22.01","C:\Program Files\7-Zip\"
"Application Verifier x64 External Package","10.1.19041.685",""
"AutoHotkey 1.1.34.04","1.1.34.04",
"Bitdefender Agent","26.0.1.231","C:\Program Files\Bitdefender Agent\"
"Bitdefender Antivirus Plus","26.0.25.87","C:\Program Files\Bitdefender\Bitdefender Security\"
"Bitdefender VPN","25.5.6.3","C:\Program Files\Bitdefender\Bitdefender VPN\"
"CarX Drift Racing Online",,"F:\SteamLibrary\steamapps\common\CarX Drift Racing Online"
"Cheat Engine 7.4",,"C:\Program Files\Cheat Engine 7.4\"
"Contractors VR",,"C:\Program Files (x86)\Steam\steamapps\common\ContractorsVR"
"Counter-Strike: Global Offensive",,"F:\SteamLibrary\steamapps\common\Counter-Strike Global Offensive"
"DecSoft HTML Compiler",,"C:\Program Files\DecSoft\HtmlCompiler\"
"Deep Rock Galactic",,"F:\SteamLibrary\steamapps\common\Deep Rock Galactic"
"DiagnosticsHub_CollectionService","17.3.32601",""
"DiRT Rally 2.0",,"G:\SteamLibrary\steamapps\common\DiRT Rally 2.0"
"Due Process",,"G:\SteamLibrary\steamapps\common\DueProcess"
"Forza Horizon 5",,"F:\SteamLibrary\steamapps\common\ForzaHorizon5"
"Git","2.37.3","C:\Program Files\Git\"
"Golf It!",,"F:\SteamLibrary\steamapps\common\Golf It!"
"icecap_collection_x64","17.3.32708",""
"IIS 10.0 Express","10.0.06614",""
"Insurgency: Sandstorm",,"F:\SteamLibrary\steamapps\common\sandstorm"
"IntelliTraceProfilerProxy","15.0.21225.01",""
"KMSpico",,"C:\Program Files\KMSpico\"
"Logitech G HUB","2022.9.312973",
"Magic Bullet Suite",,
"Maxon Cinema 4D 25","R25","C:\Program Files\Maxon Cinema 4D R25"
"Microsoft .NET 6.0 Templates 6.0.401 (x64)","24.7.30817",""
"Microsoft .NET 7.0 Templates 7.0.100-rc.1.22431.12 (x64)","28.5.15432",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_arm)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_arm64)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_x86)","48.39.47157",""
"Microsoft .NET AppHost Pack - 7.0.0 RC 1 (x64)","56.3.47274",""
"Microsoft .NET AppHost Pack - 7.0.0 RC 1 (x64_arm)","56.3.47274",""
"Microsoft .NET AppHost Pack - 7.0.0 RC 1 (x64_arm64)","56.3.47274",""
"Microsoft .NET AppHost Pack - 7.0.0 RC 1 (x64_x86)","56.3.47274",""
"Microsoft .NET Host - 5.0.17 (x64)","40.68.31213",""
"Microsoft .NET Host - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Host - 7.0.0 RC 1 (x64)","56.3.47274",""
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","40.68.31213",""
"Microsoft .NET Host FX Resolver - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Host FX Resolver - 7.0.0 RC 1 (x64)","56.3.47274",""
"Microsoft .NET Runtime - 5.0.17 (x64)","40.68.31213",""
"Microsoft .NET Runtime - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Runtime - 7.0.0 RC 1 (x64)","56.3.47274",""
"Microsoft .NET SDK 6.0.401 (x64) from Visual Studio","6.4.122.42113",""
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113",""
"Microsoft .NET Targeting Pack - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Targeting Pack - 7.0.0 RC 1 (x64)","56.3.47274",""
"Microsoft .NET Toolset 6.0.401 (x64)","24.5.30817",""
"Microsoft .NET Toolset 7.0.100-rc.1.22431.12 (x64)","28.5.15432",""
"Microsoft ASP.NET Core 6.0.9 Shared Framework (x64)","6.0.9.22419",""
"Microsoft ASP.NET Core 6.0.9 Targeting Pack (x64)","6.0.9.22419",""
"Microsoft ASP.NET Core 7.0.0 Release Candidate 1 Build rc.1.22427.2 Shared Framework (x64)","7.0.0.22427",""
"Microsoft ASP.NET Core 7.0.0 Release Candidate 1 Build rc.1.22427.2 Targeting Pack (x64)","7.0.0.22427",""
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0",""
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0",""
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359",""
"Microsoft ODBC Driver 17 for SQL Server","17.7.2.1",""
"Microsoft Office Professional Plus 2016 - en-us","16.0.15601.20148","C:\Program Files (x86)\Microsoft Office"
"Microsoft Server Speech Platform Runtime (x64)","11.0.7400.345",""
"Microsoft Silverlight","5.1.50918.0","c:\Program Files\Microsoft Silverlight\"
"Microsoft SQL Server 2019 LocalDB ","15.0.4153.1",""
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5",""
"Microsoft Update Health Tools","3.67.0.0",""
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161",""
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219",""
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030",""
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030",""
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664",""
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664",""
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual Studio Installer","3.3.2182.10694","""C:\Program Files (x86)\Microsoft Visual Studio\Installer"""
"Microsoft Web Deploy 4.0","10.0.5923",""
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","40.68.31219",""
"Microsoft Windows Desktop Runtime - 6.0.9 (x64)","48.39.47171",""
"Microsoft Windows Desktop Runtime - 7.0.0 RC 1 (x64)","56.3.47281",""
"Microsoft Windows Desktop Targeting Pack - 6.0.9 (x64)","48.39.47171",""
"Microsoft Windows Desktop Targeting Pack - 7.0.0 RC 1 (x64)","56.3.47281",""
"Microsoft.NET.Sdk.Android.Manifest-6.0.400","128.112.0",""
"Microsoft.NET.Sdk.Android.Manifest-7.0.100-rc.1","8.3.47128",""
"Microsoft.NET.Sdk.iOS.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.iOS.Manifest-7.0.100-rc.1","127.187.47038",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100-rc.1","127.187.47038",""
"Microsoft.NET.Sdk.macOS.Manifest-6.0.400","102.251.45662",""
"Microsoft.NET.Sdk.macOS.Manifest-7.0.100-rc.1","111.251.47038",""
"Microsoft.NET.Sdk.Maui.Manifest-6.0.400","24.121.32768",""
"Microsoft.NET.Sdk.Maui.Manifest-7.0.100-rc.1","28.0.6430",""
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.400","127.251.45662",""
"Microsoft.NET.Sdk.tvOS.Manifest-7.0.100-rc.1","127.187.47038",""
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.27.47141",""
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","56.27.47233",""
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","56.27.47233",""
"Microsoft.NET.Workload.Mono.Toolchain.Manifest (x64)","48.3.47157",""
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","56.3.47274",""
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","56.3.47274",""
"MPC-HC 1.7.13 (64-bit)","1.7.13","C:\Program Files\MPC-HC\"
"NordUpdater","1.3.0.73","C:\Program Files\NordUpdater\"
"NordVPN","7.0.15.0","C:\Program Files\NordVPN\"
"NVIDIA Backend","39.4.0.0","C:\Program Files (x86)\NVIDIA Corporation\Update Core"
"NVIDIA Container","1.37","C:\Program Files\NVIDIA Corporation\NvContainer"
"NVIDIA FrameView SDK 1.3.8107.31782123","1.3.8107.31782123","C:\Program Files\NVIDIA Corporation\FrameViewSDK"
"NVIDIA GeForce Experience 3.26.0.131","3.26.0.131","C:\Program Files\NVIDIA Corporation\Installer2\Display.GFExperience.{2984AC0E-183C-47B2-9D75-B0C998BDB62D}"
"NVIDIA GPX Common OSS binaries (POCO, OpenSSL, libprotobuf)","7.1","C:\Program Files\NVIDIA Corporation\Installer2\GpxCommon.Oss.{A2A2C245-868E-4315-8D47-08501B1EFF55}"
"NVIDIA Graphics Driver 516.94","516.94","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{960B1301-AE95-412E-B911-44E3E9DFFBB0}"
"NVIDIA HD Audio Driver 1.3.39.14","1.3.39.14","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{9703E677-823B-433A-974D-6B4155E1AA78}"
"NVIDIA Install Application","2.1002.377.0","C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore"
"NVIDIA LocalSystem Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{1CC3845E-04D0-48FE-BF2C-A34AFB1F62C0}"
"NVIDIA Message Bus for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.MessageBus.{0683CE5D-4DA5-4EFA-87CD-10B55F95D830}"
"NVIDIA NetworkService Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ServiceUser.{B51EACF5-91C7-4AA3-839E-617906800FFE}"
"NVIDIA NodeJS","3.26.0.131","C:\Program Files (x86)\NVIDIA Corporation\NvNode"
"NVIDIA NVAPI Monitor plugin for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.NvapiMonitor.{C007232A-DDB7-4734-9A25-1578BA12C16B}"
"NVIDIA NvModuleTracker","6.14.25214.24630","C:\Program Files\NVIDIA Corporation\Installer2\NvModuleTracker.Driver.{5167EF5E-1D53-481E-9FFF-8C381DB2D84B}"
"NVIDIA Optimus Update 39.4.0.0","39.4.0.0","C:\Program Files\NVIDIA Corporation\Installer2\Display.Optimus.{9C4AC0BA-1D9C-404E-BDC3-7694C826E323}"
"NVIDIA PhysX System Software 9.21.0713","9.21.0713","C:\Program Files (x86)\NVIDIA Corporation\PhysX"
"NVIDIA Session Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{B1A4EF3F-D882-42F2-9E2F-7D014CEBBE17}"
"NVIDIA ShadowPlay 3.26.0.131","3.26.0.131","C:\Program Files\NVIDIA Corporation\ShadowPlay"
"Nvidia Share","3.26.0.131","C:\Program Files\NVIDIA Corporation\Installer2\OSC.{8E3C69D1-39C1-4E19-A4DD-62BD9A44337C}"
"NVIDIA SHIELD Streaming","7.1.31648965","C:\Program Files\NVIDIA Corporation\NvStreamSrv"
"NVIDIA SHIELD Wireless Controller Driver","3.26.0.94","C:\Program Files\NVIDIA Corporation\Installer2\ShieldWirelessController.{F4B8C8B9-B7B2-411F-AF35-62E05F730328}"
"NVIDIA Telemetry Client","16.15.11.0","C:\Program Files\NVIDIA Corporation\NvTelemetry"
"NVIDIA TelemetryApi helper for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ContainerTelemetryApiHelper.{CFA992E9-C0CE-49E4-B033-61595F920ED1}"
"NVIDIA Update 39.4.0.0","39.4.0.0","C:\Program Files\NVIDIA Corporation\Installer2\Display.Update.{0281645A-B107-4E16-92CA-CB2E25952584}"
"NVIDIA Update Core","39.4.0.0","C:\Program Files (x86)\NVIDIA Corporation\Update Core"
"NVIDIA User Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{E230BFF2-14A5-4CEF-847E-1C0997E147D8}"
"NVIDIA Virtual Audio 4.45.0.0","4.45.0.0","C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{AC63354B-773F-4DB3-A5E3-B9B22CFC9AC2}"
"NVIDIA Virtual Host Controller","3.04.0.1","C:\Program Files\NVIDIA Corporation\Installer2\NvVHCI.{01E93CB7-AB7D-413B-97F7-2B94B273B7FE}"
"NVIDIA Watchdog Plugin for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{D3905139-E754-4624-8579-88869D2D42E4}"
"Oculus","<3","C:\Program Files\Oculus\"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.15601.20064",""
"Office 16 Click-to-Run Licensing Component","16.0.15601.20148",""
"OpenXR-Toolkit","1.1.4",""
"OVR Locomotion Effect",,"F:\SteamLibrary\steamapps\common\OVRLocomotionEffect"
"Pavlov VR",,"C:\Program Files (x86)\Steam\steamapps\common\PavlovVR"
"PeaZip 8.8.0 (WIN64)","8.8.0","C:\Program Files\PeaZip\"
"POPULATION: ONE",,"F:\SteamLibrary\steamapps\common\PopulationONE"
"PowerShell Studio 2022","5.8.203.0","C:\Program Files\SAPIEN Technologies, Inc\PowerShell Studio 2022\"
"Project CARS 3",,"G:\SteamLibrary\steamapps\common\Project CARS 3"
"Pulover's Macro Creator version 5.4.1","5.4.1","C:\Program Files\MacroCreator\"
"Python 3.10.7 Core Interpreter (64-bit)","3.10.7150.0",""
"Python 3.10.7 Development Libraries (64-bit)","3.10.7150.0",""
"Python 3.10.7 Documentation (64-bit)","3.10.7150.0",""
"Python 3.10.7 Executables (64-bit)","3.10.7150.0",""
"Python 3.10.7 pip Bootstrap (64-bit)","3.10.7150.0",""
"Python 3.10.7 Standard Library (64-bit)","3.10.7150.0",""
"Python 3.10.7 Tcl/Tk Support (64-bit)","3.10.7150.0",""
"Python 3.10.7 Test Suite (64-bit)","3.10.7150.0",""
"Python 3.10.7 Utility Scripts (64-bit)","3.10.7150.0",""
"Railway Empire",,"F:\SteamLibrary\steamapps\common\Railway Empire"
"Rocket League",,"C:\Program Files (x86)\Steam\steamapps\common\rocketleague"
"Samsung NVM Express Driver 3.3.0.2003","3.3.0.2003",""
"SAPIEN PowerShell Studio 2022","5.8.203.0","C:\Program Files\SAPIEN Technologies, Inc\PowerShell Studio 2022\"
"SAPIEN ScriptMerge 2022","1.4.89.0","C:\Program Files\SAPIEN Technologies, Inc\ScriptMerge 2022\"
"SAPIEN Updates","1.1.43.0","C:\Program Files\SAPIEN Technologies, Inc\SAPIEN Updates\"
"SAPIEN Updates","1.1.43.0","C:\Program Files\SAPIEN Technologies, Inc\SAPIEN Updates\"
"ScriptMerge 2022","1.4.89.0","C:\Program Files\SAPIEN Technologies, Inc\ScriptMerge 2022\"
"Session: Skate Sim",,"C:\Program Files (x86)\Steam\steamapps\common\Session"
"Squad",,"G:\SteamLibrary\steamapps\common\Squad"
"SteamVR",,"C:\Program Files (x86)\Steam\steamapps\common\SteamVR"
"Sublime Text",,"C:\Program Files\Sublime Text\"
"Teardown",,"G:\SteamLibrary\steamapps\common\Teardown"
"Tom Clancy's Ghost Recon Wildlands","1.0","F:\games\Tom Clancy's Ghost Recon Wildlands\"
"Tom Clancy's Rainbow Six Siege",,"G:\SteamLibrary\steamapps\common\Tom Clancy's Rainbow Six Siege"
"Topaz Video Enhance AI","2.6.4",
"Totally Accurate Battlegrounds",,"F:\SteamLibrary\steamapps\common\TotallyAccurateBattlegrounds"
"Transport Fever 2",,"G:\SteamLibrary\steamapps\common\Transport Fever 2"
"UE4 Prerequisites (x64)","1.0.11.0",""
"Unity Hub 2.4.4","2.4.4",
"Universal CRT Tools x64","10.1.19041.685",""
"Valheim Dedicated Server",,"F:\SteamLibrary\steamapps\common\Valheim dedicated server"
"VBCABLE-A, The Virtual Audio Cable",,
"Virtual Desktop Service","1.18.24","C:\Program Files\Virtual Desktop\"
"VLC media player","3.0.17.4","C:\Program Files\VideoLAN\VLC"
"VS JIT Debugger","17.0.118.0",""
"VS Script Debugging Common","17.0.118.0",""
"vs_communityx64msi","17.3.32708",""
"vs_devenx64vmsi","17.3.32708",""
"vs_Graphics_Singletonx64","17.3.32708",""
"vs_minshellinteropx64msi","17.3.32708",""
"vs_minshellx64msi","17.3.32708",""
"WAR DUST",,"G:\SteamLibrary\steamapps\common\WAR DUST"
"Windows App Certification Kit Native Components","10.1.19041.685",""
"Windows Mixed Reality for SteamVR ",,"F:\SteamLibrary\steamapps\common\MixedRealityVRDriver"
"Windows PC Health Check","3.6.2204.08001",""
"Windows SDK DirectX x64 Remote","10.1.19041.685",""
"WinRAR 6.11 (64-bit)","6.11.0","C:\Program Files\WinRAR\"
"World of Warships",,"F:\SteamLibrary\steamapps\common\World of Warships"
