"DisplayName","DisplayVersion","InstallLocation"
".NET Android Templates","32.0.448",""
".NET MAUI Templates","6.0.536",""
"Application Verifier x64 External Package","10.1.19041.685",""
"AutoHotkey 1.1.34.04","1.1.34.04",
"DiagnosticsHub_CollectionService","17.3.32601",""
"Driver Easy 5.7.3","5.7.3","C:\Program Files\Easeware\DriverEasy\"
"Factorio",,"C:\Program Files (x86)\Steam\steamapps\common\Factorio"
"Git","2.37.3","C:\Program Files\Git\"
"icecap_collection_x64","17.3.32708",""
"IIS 10.0 Express","10.0.06614",""
"IntelliTraceProfilerProxy","15.0.21225.01",""
"Lenovo Diagnostics Tool","4.44.0.44",
"LibreOffice 7.4.0.3","7.4.0.3","C:\Program Files\LibreOffice\"
"Lossless Scaling",,"C:\Program Files (x86)\Steam\steamapps\common\Lossless Scaling"
"Microsoft .NET 6.0 Templates 6.0.401 (x64)","24.7.30817",""
"Microsoft .NET 6.0 Templates 6.0.402 (x64)","24.7.52714",""
"Microsoft .NET AppHost Pack - 6.0.10 (x64)","48.43.48869",""
"Microsoft .NET AppHost Pack - 6.0.10 (x64_arm)","48.43.48869",""
"Microsoft .NET AppHost Pack - 6.0.10 (x64_arm64)","48.43.48869",""
"Microsoft .NET AppHost Pack - 6.0.10 (x64_x86)","48.43.48869",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_arm)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_arm64)","48.39.47157",""
"Microsoft .NET AppHost Pack - 6.0.9 (x64_x86)","48.39.47157",""
"Microsoft .NET Host - 6.0.10 (x64)","48.43.48869",""
"Microsoft .NET Host FX Resolver - 6.0.10 (x64)","48.43.48869",""
"Microsoft .NET Host FX Resolver - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Runtime - 6.0.10 (x64)","48.43.48869",""
"Microsoft .NET Runtime - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET SDK 6.0.401 (x64) from Visual Studio","6.4.122.42113",""
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113",""
"Microsoft .NET Targeting Pack - 6.0.10 (x64)","48.43.48869",""
"Microsoft .NET Targeting Pack - 6.0.9 (x64)","48.39.47157",""
"Microsoft .NET Toolset 6.0.401 (x64)","24.5.30817",""
"Microsoft .NET Toolset 6.0.402 (x64)","24.5.52714",""
"Microsoft ASP.NET Core 6.0.10 Shared Framework (x64)","6.0.10.22476",""
"Microsoft ASP.NET Core 6.0.10 Targeting Pack (x64)","6.0.10.22476",""
"Microsoft ASP.NET Core 6.0.9 Shared Framework (x64)","6.0.9.22419",""
"Microsoft ASP.NET Core 6.0.9 Targeting Pack (x64)","6.0.9.22419",""
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0",""
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0",""
"Microsoft Build of OpenJDK with Hotspot 11.0.12+7 (x64)","11.0.12.7","C:\Program Files\Microsoft\jdk-11.0.12.7-hotspot\"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359",""
"Microsoft ODBC Driver 17 for SQL Server","17.7.2.1",""
"Microsoft Silverlight","5.1.50918.0","c:\Program Files\Microsoft Silverlight\"
"Microsoft SQL Server 2019 LocalDB ","15.0.4153.1",""
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5",""
"Microsoft Update Health Tools","4.67.0.0",""
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148",""
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161",""
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219",""
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030",""
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030",""
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660","12.0.40660",""
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660","12.0.40660",""
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332","14.32.31332",""
"Microsoft Visual Studio Installer","3.3.2185.63263","""C:\Program Files (x86)\Microsoft Visual Studio\Installer"""
"Microsoft Web Deploy 4.0","10.0.5923",""
"Microsoft Windows Desktop Runtime - 6.0.10 (x64)","48.43.48870",""
"Microsoft Windows Desktop Runtime - 6.0.9 (x64)","48.39.47171",""
"Microsoft Windows Desktop Targeting Pack - 6.0.10 (x64)","48.43.48870",""
"Microsoft Windows Desktop Targeting Pack - 6.0.9 (x64)","48.39.47171",""
"Microsoft.Android.Ref.31","32.0.448",""
"Microsoft.Android.Runtime.31.android-arm","32.0.448",""
"Microsoft.Android.Runtime.31.android-arm64","32.0.448",""
"Microsoft.Android.Runtime.31.android-x64","32.0.448",""
"Microsoft.Android.Runtime.31.android-x86","32.0.448",""
"Microsoft.Android.Sdk.Windows","32.0.448",""
"Microsoft.AspNetCore.Components.WebView.Maui","6.0.536",""
"Microsoft.iOS.Ref","15.4.446",""
"Microsoft.iOS.Runtime.ios-arm","15.4.446",""
"Microsoft.iOS.Runtime.ios-arm64","15.4.446",""
"Microsoft.iOS.Runtime.iossimulator-arm64","15.4.446",""
"Microsoft.iOS.Runtime.iossimulator-x64","15.4.446",""
"Microsoft.iOS.Runtime.iossimulator-x86","15.4.446",""
"Microsoft.iOS.Sdk","15.4.446",""
"Microsoft.iOS.Templates","15.4.446",""
"Microsoft.iOS.Windows.Sdk","15.4.446",""
"Microsoft.MacCatalyst.Ref","15.4.446",""
"Microsoft.MacCatalyst.Runtime.maccatalyst-arm64","15.4.446",""
"Microsoft.MacCatalyst.Runtime.maccatalyst-x64","15.4.446",""
"Microsoft.MacCatalyst.Sdk","15.4.446",""
"Microsoft.MacCatalyst.Templates","15.4.446",""
"Microsoft.Maui.Controls.Ref.android","6.0.536",""
"Microsoft.Maui.Controls.Ref.any","6.0.536",""
"Microsoft.Maui.Controls.Ref.ios","6.0.536",""
"Microsoft.Maui.Controls.Ref.maccatalyst","6.0.536",""
"Microsoft.Maui.Controls.Ref.win","6.0.536",""
"Microsoft.Maui.Controls.Runtime.android","6.0.536",""
"Microsoft.Maui.Controls.Runtime.any","6.0.536",""
"Microsoft.Maui.Controls.Runtime.ios","6.0.536",""
"Microsoft.Maui.Controls.Runtime.maccatalyst","6.0.536",""
"Microsoft.Maui.Controls.Runtime.win","6.0.536",""
"Microsoft.Maui.Core.Ref.android","6.0.536",""
"Microsoft.Maui.Core.Ref.any","6.0.536",""
"Microsoft.Maui.Core.Ref.ios","6.0.536",""
"Microsoft.Maui.Core.Ref.maccatalyst","6.0.536",""
"Microsoft.Maui.Core.Ref.win","6.0.536",""
"Microsoft.Maui.Core.Runtime.android","6.0.536",""
"Microsoft.Maui.Core.Runtime.any","6.0.536",""
"Microsoft.Maui.Core.Runtime.ios","6.0.536",""
"Microsoft.Maui.Core.Runtime.maccatalyst","6.0.536",""
"Microsoft.Maui.Core.Runtime.win","6.0.536",""
"Microsoft.Maui.Dependencies","6.0.536",""
"Microsoft.Maui.Essentials.Ref.android","6.0.536",""
"Microsoft.Maui.Essentials.Ref.any","6.0.536",""
"Microsoft.Maui.Essentials.Ref.ios","6.0.536",""
"Microsoft.Maui.Essentials.Ref.maccatalyst","6.0.536",""
"Microsoft.Maui.Essentials.Ref.win","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.android","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.any","6.0.536",""
"Microsoft.Maui.Essentials.Runtime.ios","6.0.536",""
